PROJECT_NM,PRJCT_TYPE,CLOSR_IND,CLOSR_DT,CLOSR_TYPE,SITE_LOC,ST_DESC,LATITUDE,LONGITUDE
DUFFY GREENSTONE ORV TRAIL,RTR - Recreation Trail,Y,20211027,,KAMLOOPS,"",50.658093,-120.608731
RETALLACK CEDARS SITE,SIT - Recreation Site,N,,,NAKUSP,This is a short loop trail through a cedar-spruce ecosystem. An interpretive sign which describes the vegetation and wildlife along the trail is located near the start of the trail. This trail is actively used by bears; large hollow cedar trees have provided den locations in the past. Please stay on developed trails and treat the area with care. Trail may be closed seasonally due to Black Bear activity.,50.043327,-117.158374
Sapeye - Waterlily Creek Trail,RTR - Recreation Trail,N,,,TATLA LAKE,The trail is a gentle rolling route through pine and aspen forest that follows the main drainage of the valley before crossing it at the north end of the loop. There is a foot bridge and some corduroy sections where the trail crosses the creek before turning south to loop back towards the west side of Waterlilly Lake. There is an old beaver dam where the trail crosses the creek. There are beaver otter muskrat and many species of birds and other mammals that use the area and can be seen regularly from the trail. In addition to waterfowl and wildlife viewing opportunities the trail offers great views down the valley to the mountains. Camping opportunities are available at nearby Horn and Sapeye Lake recreation sites.,51.826501,-124.707495
Larson Ridge Backcountry Cabin Trail,RTR - Recreation Trail,N,,,TERRACE,"Larson Ridge cabin is managed and maintained by the Mount Remo Backcountry Society (MRBS) under an agreement with Recreation Sites and Trails B.C.  The cabin is primarily used for backcountry skiing but the area also offers outstanding alpine hiking opportunities.  There are no developed trails on Larson Ridge so good outdoor and route finding skills are essential.Contact MRBS at info@mtremo.ca for additional information.",54.248815,-128.700236
McGinty Trails,RTR - Recreation Trail,N,,,KIMBERLEY,A relatively flat 4.37km double loop non-motorized trail that winds its way through an open ponderosa pine/larch forest.  Hikers can either complete the first loop or if energetic continue to circle around McGinty Lake.  Great hiking trail for persons of all ages as it's a fairly easy nature hike.  The McGinty Lake Interpretive Forest Recreation Site offers a great place for a break or picnic with views of the lake and various waterfowl.,49.696897,-115.859031
NED'S CONNECTOR TRAIL,RTR - Recreation Trail,N,,,WELLS,"A short connector used to connect the Cow Mtn Trails down towards Barkerville.Non Motorized Trail",53.062292,-121.56473
MURRAY CANYON OVERLOOK TRAIL,RTR - Recreation Trail,N,,,TUMBLER RIDGE,"From the parking lot the trail leads westwards with stops at twelve numbered markerscorrelating to the descriptions in the attached guide.This trail is maintained by the Wolverine Nordic & Mountain Society.   Wolverine Nordic & Mountain SocietyPhotos and Maps courtesy of the WNMS.",55.289347,-120.912458
HEADWATERS LAKE,SIT - Recreation Site,N,,,PEACHLAND,"A small treed campsite with good fishing opportunities.",49.8164,-120.012381
KITTIL FALLS,SIT - Recreation Site,N,,,UPPER FRASER - SINCLAIR MILLS,This site provides camping for 1 possibly 2  campsites.  There is a short trail that leads up to the scenic Kittil Falls.,54.096976,-121.209188
KENO LAKE,SIT - Recreation Site,Y,20210719,,HORSEFLY,A small two section campsite with the first being a larger level site in the trees the second portion more open area beside the lake and boat launch.  Both are very close to the Z road.,52.489328,-121.093828
CHARCOAL CREEK,SIT - Recreation Site,N,,,FALKLAND,This is a semi-open campsite on Charcoal Creek. This site is a good family site has good creek fishing opportunities and has easy access. The large grassy area is good for group camping.,50.637014,-119.657036
Avatar Grove Hiking Trails,SIT - Recreation Site,Y,20220117,,PORT RENFREW,The trail has amazing views of massive rainforest trees and waterfalls and Grand Old-Growth Red Cedar and Douglas Fir moss covered trees the whole area expresses an ancient view.,48.616795,-124.437198
MURRAY RIDGE NORDIC,RTR - Recreation Trail,N,,,FORT ST. JAMES,13km of groomed and track set cross country trails complete with a 3.7 km lighted loop and warm up building maintained by the Stuart Lake Nordic Society in partnership with RSTBC.  The trails are directly connected and can be accessed from the Murray Ridge Downhill Ski area which has a large lodge with all amenities.,54.518311,-124.216125
CEDAR LAKE,SIT - Recreation Site,N,,,CAMPBELL RIVER,A quiet site not far from the highway.  Campsites are located at either end of an old railway trestle. Cedar Lake is small and easily explored by canoe.,50.201588,-125.567659
NOBLE ORV TRAILS,RTR - Recreation Trail,N,,,KAMLOOPS,"",50.843252,-120.364957
Dog House Cabin,SIT - Recreation Site,N,,,KELOWNA,An emergency shelter on the McCulloch Snowmobile Trails. There is a stove and wood available at this location.    Kelowna Snowmobile Club,49.749497,-119.276817
SHINGLE CREEK,RTR - Recreation Trail,N,,,SUMMERLAND,Shingle Creek trail is a 2.4km multi-use trail and is located near Brent Mountain.,49.528776,-119.882892
GOAT MTN. LAKE,SIT - Recreation Site,N,,,LAVINGTON,"This site is on the north side of Goat Mountain Lake. There are some fishing opportunities on this small lake.",50.125984,-118.956443
KRUGER FLATS,RTR - Recreation Trail,N,,,TUMBLER RIDGE,"This trail is part of the Monkman Memorial Trail system from Grande Prairie Alberta to the Heric River.This portion shows remnants of the past.Please do not remove historic artefacts.This trail is maintained by the Wolverine Nordic & Mountain Society.   Wolverine Nordic & Mountain Society",54.925397,-120.319475
Tsuius Mountain,RTR - Recreation Trail,N,,,VERNON,Alpine hiking trail to Mirror Lake. Elevation +/- 1955m . From the lake looking West is Tsuius Mtn elevation 2487 m / 8159 ft.,50.717201,-118.377356
THREE ISLAND LAKE,SIT - Recreation Site,N,,,PARSON,"A small less popular campsite with angling opportunities. Very rough and narrow access for the last few km with no turn arounds. 4wd and high clearance access only. No trailers. ",51.016201,-116.787369
KUMP LAKE,SIT - Recreation Site,N,,,MERRITT,"This recreation site is popular with camping fishing and hunting enthusiasts. There are 2 distinct small camping areas;the northern end of the lake is a bit more shady and tighter while the western side of the lake is more sunny and open. Most of the sites are not suitable for very large motorhomes or fifth wheels.  The best boat launch is located on the south end campsite but it is a little tight and is suitable for smaller vehicles with small boat trailers. No camping on the shoreline is permitted.",49.735181,-120.634568
PAUL LAKE,SIT - Recreation Site,N,,,HOUSTON,Tucked away in the forest on a small secluded lake is a six unit campsite and picnic area.,54.764167,-126.25067
Kloosifier Trail,RTR - Recreation Trail,N,,,INVERMERE,"Seven km of intermediate level trails.  These epic cross country trails offer fast flowy and smooth sections. Fantastic views of Toby Creek Canyon Rocky Mountains and the District of Invermere.  To connect to the Johnson Trail follow Clover road north for a few hundred metres where you will enter the trail just south of Toby Creek road.  Please respect private property.  Horses and walkers are common on the trails.  SHARE THE TRAIL.The Columbia Valley Cycling Society maintains the trail.  http://www.columbiavalleycyclingsociety.org/",50.513869,-116.059474
Lost Lake,SIT - Recreation Site,N,,,BELLA COOLA VALLEY,This site is located at the top of the Lost Lake Trail overlooking the community of Hagensborg.  There are two viewpoints in the area with views of the Nusatsum and Bella Coola valleys.  There are a few locations to tent closer to the lake.,52.418617,-126.457319
BARRETT LAKE,SIT - Recreation Site,N,,,NELSON,Barrett Lake is a beautiful little mountain lake with a small rustic cabin on the shores. There are opportunities for Quading hiking fishing and camping. Barrett Lake is at 1800 Meters.,49.343508,-117.35005
JANE LAKES TRAIL,RTR - Recreation Trail,N,,,WHISTLER,The trails to Jane Lakes are not often busy as the trailheads are not well marked nor are they easy to get to. The trails are routes that are user maintained and may be difficult to follow at times.  Jane Lakes is locally known as a spectacular area to view columnar basalt columns in large form.,50.039108,-123.046544
COMMUNITY LAKE SOUTHWEST,SIT - Recreation Site,N,,,HEFFLEY,"The recreation site located on the shore of Community Lake is ideal for fly fishing. The 40 hectare sized lake is stocked annually with rainbow trout. The lake's higher elevation (aprox 1370 m above sea level) ensures that fishing remains productive throughout the summer months.Please use the site responsibly. As per the Recreation Regulations;Camping is limited to a maximum of 14 consecutive days per visit.No reserving or holding of campsites no unoccupied trailers tents chairs vehicles may save a site or reserve it for others. All sites are first come first serve.Camping is only permitted in the designated camping spots.All dogs must be on a leash at all times (for all Kamloops Recreation Sites).Interested in becoming a Site Operator? Submit your interest here.",50.925766,-120.077763
Boulder Dam,SIT - Recreation Site,N,,,ATLIN,"A short trail leads to the old wood dam used for hydraulic mining in the early 1900s. An interpretive panel describes the history of the dam and hydraulic mining along Boulder Creek.Note: Please stay off of dam structure. Hidden hazards existHistoric photos courtesy of the Atlin Historical Society.",59.676126,-133.421566
MCGINTY LAKE,SIT - Recreation Site,N,,,KIMBERLEY,The McGinty Lake Interpretive Forest Site and Trail network is home to many wild creatures and plant species.  Users can experience a multi-use trail system designed for non-motorized recreation.  This area is popular with hikers cyclists equestrians cross-country skiers or students who visit the site to learn about the various aquatic species and waterfowl that are found at the site. This is also an excellent location for a family picnic while enjoying the scenic lake.,49.684662,-115.859802
Hatheume Lake South,SIT - Recreation Site,N,,,WEST KELOWNA,Hatheume site has a car top boat launch.  The lake is stocked with rainbow trout.,49.986804,-120.043144
